"RelativePath","Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaqueCoveragePct","CoverageGroup"
"textures\infantry x swordsman iron.tga","infantry x swordsman iron.tga",,"64","64","1","BC3",,"2",,
"textures\infantry x swordsman standard.tga","infantry x swordsman standard.tga",,"64","64","1","BC3",,"2",,
"textures\infantry x trident soldier cape iron.tga","infantry x trident soldier cape iron.tga",,"32","64","1","BC3",,"3",,
"textures\infantry x trident soldier head hero.tga","infantry x trident soldier head hero.tga",,"64","16","1","BC3",,"2",,
"textures\infantry x trident soldier head iron.tga","infantry x trident soldier head iron.tga",,"64","16","1","BC3",,"1",,
"textures\infantry x trident soldier hero.tga","infantry x trident soldier hero.tga",,"64","64","1","BC3",,"3",,
"textures\infantry x trident soldier iron.tga","infantry x trident soldier iron.tga",,"64","64","1","BC3",,"3",,
"textures\infantry x trident soldier shield hero.tga","infantry x trident soldier shield hero.tga",,"32","64","1","BC3",,"3",,
"textures\infantry x trident soldier shield iron.tga","infantry x trident soldier shield iron.tga",,"32","64","1","BC3",,"3",,
"textures\kronos wonder map2.tga","kronos wonder map2.tga",,"256","256","1","BC3",,"2",,
"textures\low infantry g normal head bronze.tga","low infantry g normal head bronze.tga",,"32","16","1","BC3",,"2",,
"textures\low infantry g normal head copper.tga","low infantry g normal head copper.tga",,"32","16","1","BC3",,"2",,
"textures\low infantry g normal head iron.tga","low infantry g normal head iron.tga",,"32","16","1","BC3",,"2",,
"textures\low infantry g normal head standard.tga","low infantry g normal head standard.tga",,"32","16","1","BC3",,"2",,
"textures\lp cine x krios.tga","lp cine x krios.tga",,"128","128","1","BC3",,"3",,
"textures\lp g militia.tga","lp g militia.tga",,"64","32","1","BC3",,"1",,
"textures\lp mu x argus map.tga","lp mu x argus map.tga",,"128","128","1","BC3",,"3",,
"textures\lp mu x stymphalian bird map.tga","lp mu x stymphalian bird map.tga",,"128","128","1","BC3",,"3",,
"textures\mu x argus map.tga","mu x argus map.tga",,"256","256","1","BC3",,"3",,
"textures\mu x atlantean flying medic map.tga","mu x atlantean flying medic map.tga",,"128","128","1","BC3",,"3",,
"textures\mu x atlantean hundred giant map.tga","mu x atlantean hundred giant map.tga",,"128","128","1","BC3",,"3",,
"textures\mu x atlantean lampedes map.tga","mu x atlantean lampedes map.tga",,"128","128","1","BC3",,"3",,
"textures\mu x atlantean manowar map.tga","mu x atlantean manowar map.tga",,"128","128","1","BC3",,"3",,
"textures\mu x atlantean satyr map.tga","mu x atlantean satyr map.tga",,"128","128","1","BC3",,"3",,
"textures\mu x automation map.tga","mu x automation map.tga",,"64","64","1","BC3",,"3",,
"textures\mu x behemoth map.tga","mu x behemoth map.tga",,"256","256","1","BC3",,"3",,
"textures\mu x dryad.tga","mu x dryad.tga",,"128","128","1","BC3",,"3",,
"textures\mu x nereid rider map.tga","mu x nereid rider map.tga",,"128","128","1","BC3",,"3",,
"textures\mu x oracle.tga","mu x oracle.tga",,"64","64","1","BC3",,"3",,
"textures\mu x promethean map.tga","mu x promethean map.tga",,"64","64","1","BC3",,"3",,
"textures\mu x servant of oceanus map.tga","mu x servant of oceanus map.tga",,"128","128","1","BC3",,"3",,
"textures\mu x stymphalian bird map.tga","mu x stymphalian bird map.tga",,"256","256","1","BC3",,"3",,
"textures\naval c all.tga","naval c all.tga",,"256","256","4","BC3",,"158",,
"textures\naval e all.tga","naval e all.tga",,"256","256","1","BC3",,"3",,
"textures\naval e pirate ship.tga","naval e pirate ship.tga",,"256","256","1","BC3",,"3",,
"textures\naval g all wrecked.tga","naval g all wrecked.tga",,"256","256","1","BC3",,"3",,
"textures\naval g all.tga","naval g all.tga",,"256","256","1","BC3",,"3",,
"textures\naval g giant turtle.tga","naval g giant turtle.tga",,"256","256","4","BC3",,"244",,
"textures\naval n kraken upgrade.tga","naval n kraken upgrade.tga",,"128","64","1","BC3",,"3",,
"textures\naval n kraken.tga","naval n kraken.tga",,"128","64","1","BC3",,"3",,
"textures\naval n utility map.tga","naval n utility map.tga",,"256","256","1","BC3",,"3",,
"textures\naval x all.tga","naval x all.tga",,"256","256","1","BC3",,"3",,
"textures\oranos wonder map.tga","oranos wonder map.tga",,"256","256","1","BC3",,"2",,
"textures\oranos wonder map1.tga","oranos wonder map1.tga",,"256","256","1","BC3",,"2",,
"textures\platform map.tga","platform map.tga",,"128","32","1","BC3",,"2",,
"textures\projectile a ballista arrow iron.tga","projectile a ballista arrow iron.tga",,"64","16","1","BC3",,"2",,
"textures\projectile a ballista arrow.tga","projectile a ballista arrow.tga",,"64","16","1","BC3",,"2",,
"textures\projectile a siege rock map.tga","projectile a siege rock map.tga",,"64","64","0","BC3",,"1",,
"textures\scenario a dwarven forge belt.tga","scenario a dwarven forge belt.tga",,"64","16","0","BC3",,"1",,
"textures\scenario a dwarven forge shared a.tga","scenario a dwarven forge shared a.tga",,"256","256","0","BC3",,"1",,
"textures\scenario a dwarven forge shared b.tga","scenario a dwarven forge shared b.tga",,"256","256","0","BC3",,"1",,
"textures\scenario a gate ram.tga","scenario a gate ram.tga",,"256","256","1","BC3",,"1",,
"textures\scenario b amanra map.tga","scenario b amanra map.tga",,"64","64","1","BC3",,"3",,
"textures\scenario c danzhu head.tga","scenario c danzhu head.tga",,"32","32","4","BC3",,"1",,
"textures\scenario c danzhu.tga","scenario c danzhu.tga",,"128","128","4","BC3",,"55",,
"textures\scenario c gargarensis map.tga","scenario c gargarensis map.tga",,"128","128","1","BC3",,"3",,
"textures\scenario c jiaolong head.tga","scenario c jiaolong head.tga",,"64","64","4","BC3",,"36",,
"textures\scenario c jiaolong.tga","scenario c jiaolong.tga",,"256","256","4","BC3",,"180",,
"textures\scenario c kamos.tga","scenario c kamos.tga",,"128","128","1","BC3",,"3",,
"textures\scenario c shun head.tga","scenario c shun head.tga",,"32","32","4","BC3",,"1",,
"textures\scenario c shun.tga","scenario c shun.tga",,"128","128","1","BC3",,"98",,
"textures\scenario c zhi head.tga","scenario c zhi head.tga",,"64","64","4","BC3",,"1",,
"textures\scenario c zhi.tga","scenario c zhi.tga",,"128","128","4","BC3",,"77",,
"textures\scenario e great box camel.tga","scenario e great box camel.tga",,"256","256","1","BC3",,"3",,
"textures\scenario e great box cart.tga","scenario e great box cart.tga",,"128","128","1","BC3",,"1",,
"textures\scenario e great box.tga","scenario e great box.tga",,"256","256","1","BC3",,"3",,
"textures\scenario e guardian.tga","scenario e guardian.tga",,"128","128","1","BC3",,"3",,
"textures\scenario e setna map.tga","scenario e setna map.tga",,"64","64","1","BC3",,"3",,
"textures\scenario g arkantos god map.tga","scenario g arkantos god map.tga",,"128","128","1","BC3",,"1",,
"textures\scenario g arkantos man map.tga","scenario g arkantos man map.tga",,"128","128","1","BC3",,"3",,
"textures\scenario g arkantos map.tga","scenario g arkantos map.tga",,"128","128","1","BC3",,"3",,
"textures\scenario g chiron map.tga","scenario g chiron map.tga",,"64","64","1","BC3",,"3",,
"textures\scenario g circe head.tga","scenario g circe head.tga",,"32","32","1","BC3",,"2",,
"textures\scenario g circe.tga","scenario g circe.tga",,"64","64","1","BC3",,"2",,
"textures\scenario g kastor map.tga","scenario g kastor map.tga",,"64","64","1","BC3",,"3",,
"textures\scenario g odysseus map.tga","scenario g odysseus map.tga",,"64","64","1","BC3",,"3",,
"textures\scenario g old man map.tga","scenario g old man map.tga",,"64","64","1","BC3",,"3",,
"textures\scenario g skult map.tga","scenario g skult map.tga",,"64","64","1","BC3",,"3",,
"textures\scenario n brokk standard.tga","scenario n brokk standard.tga",,"64","64","1","BC3",,"3",,
"textures\scenario n dwarven mine inside.tga","scenario n dwarven mine inside.tga",,"256","128","1","BC3",,"1",,
"textures\scenario n dwarven mine opening.tga","scenario n dwarven mine opening.tga",,"256","256","1","BC3",,"1",,
"textures\scenario n dwarven mine outside.tga","scenario n dwarven mine outside.tga",,"256","128","1","BC3",,"1",,
"textures\scenario n eitri standard.tga","scenario n eitri standard.tga",,"64","64","1","BC3",,"3",,
"textures\scenario n reginleif map.tga","scenario n reginleif map.tga",,"64","64","1","BC3",,"2",,
"textures\scenario n reginleif weapons map.tga","scenario n reginleif weapons map.tga",,"64","64","1","BC3",,"3",,
"textures\scenario n thors hammer cart.tga","scenario n thors hammer cart.tga",,"128","64","1","BC3",,"3",,
"textures\scenario n thors hammer.tga","scenario n thors hammer.tga",,"128","128","1","BC3",,"1",,
"textures\scenario t troy wall long dead.tga","scenario t troy wall long dead.tga",,"256","256","1","BC3",,"2",,
"textures\scenario t troy wall long deadb.tga","scenario t troy wall long deadb.tga",,"256","256","1","BC3",,"2",,
"textures\scenario t troy wall long.tga","scenario t troy wall long.tga",,"256","256","1","BC3",,"2",,
"textures\scenario theocrat staff.tga","scenario theocrat staff.tga",,"32","8","1","BC3",,"2",,
"textures\scenario theocrat.tga","scenario theocrat.tga",,"64","64","1","BC3",,"3",,
"textures\scenario u chronos hand.tga","scenario u chronos hand.tga",,"256","256","1","BC3",,"1",,
"textures\scenario u ferryman map.tga","scenario u ferryman map.tga",,"64","64","1","BC3",,"3",,
"textures\scenario u shade.tga","scenario u shade.tga",,"64","64","1","BC3",,"3",,
"textures\scenario x amanra map.tga","scenario x amanra map.tga",,"64","64","1","BC3",,"3",,
"textures\sfx a healing spring stone.tga","sfx a healing spring stone.tga",,"256","256","1","BC3",,"3",,
"textures\sfx a ip glow.tga","sfx a ip glow.tga",,"128","64","0","BC3",,"1",,
"textures\sfx a lighthouse glow.tga","sfx a lighthouse glow.tga",,"32","16","0","BC3",,"1",,
"textures\sfx a rain sunlight.tga","sfx a rain sunlight.tga",,"32","64","0","BC3",,"1",,
"textures\sfx a rainbow.tga","sfx a rainbow.tga",,"128","64","0","BC3",,"1",,
"textures\sfx a serpent.tga","sfx a serpent.tga",,"64","64","1","BC3",,"3",,
"textures\sfx a walking woods.tga","sfx a walking woods.tga",,"128","128","1","BC3",,"3",,
"textures\sfx b lighthouse glow.tga","sfx b lighthouse glow.tga",,"64","64","0","BC3",,"1",,
"textures\sfx c earth dragon hole.tga","sfx c earth dragon hole.tga",,"256","256","4","BC3",,"256",,
"textures\sfx c growth vines.tga","sfx c growth vines.tga",,"64","64","4","BC3",,"1",,
"textures\sfx c ip glow.tga","sfx c ip glow.tga",,"128","64","0","BC3",,"1",,
"textures\sfx e citadel age4.tga","sfx e citadel age4.tga",,"256","256","1","BC3",,"2",,
"textures\sfx e citadel.tga","sfx e citadel.tga",,"256","256","1","BC3",,"2",,
"textures\sfx e son of osiris head.tga","sfx e son of osiris head.tga",,"32","32","1","BC3",,"3",,
"textures\sfx e son of osiris.tga","sfx e son of osiris.tga",,"64","64","1","BC3",,"3",,
"textures\sfx g animal magnetism.tga","sfx g animal magnetism.tga",,"128","128","1","BC3",,"3",,
"textures\sfx g lightning bolt.tga","sfx g lightning bolt.tga",,"64","32","1","BC3",,"1",,
"textures\sfx g lightning skyflash.tga","sfx g lightning skyflash.tga",,"128","128","0","BC3",,"1",,
"textures\sfx g plenty decal.tga","sfx g plenty decal.tga",,"256","256","1","BC3",,"1",,
"textures\sfx g plenty shadow.tga","sfx g plenty shadow.tga",,"256","256","1","BC3",,"1",,
"textures\sfx g plenty.tga","sfx g plenty.tga",,"256","256","1","BC3",,"2",,
"textures\sfx g sentinel.tga","sfx g sentinel.tga",,"128","128","1","BC3",,"2",,
"textures\sfx meteorite splat decal.tga","sfx meteorite splat decal.tga",,"128","128","1","BC3",,"3",,
"textures\sfx n dwarven mine.tga","sfx n dwarven mine.tga",,"256","256","1","BC3",,"1",,
"textures\sfx n frost ice block unit.tga","sfx n frost ice block unit.tga",,"128","128","0","BC3",,"1",,
"textures\siege c fire lance bronze.tga","siege c fire lance bronze.tga",,"64","64","4","BC3",,"99",,
"textures\siege c fire lance head bronze.tga","siege c fire lance head bronze.tga",,"64","32","4","BC3",,"18",,
"textures\siege c fire lance head iron.tga","siege c fire lance head iron.tga",,"64","32","4","BC3",,"18",,
"textures\siege c fire lance head.tga","siege c fire lance head.tga",,"64","32","4","BC3",,"18",,
"textures\siege c fire lance iron.tga","siege c fire lance iron.tga",,"64","64","4","BC3",,"102",,
"textures\siege c fire lance.tga","siege c fire lance.tga",,"64","64","4","BC3",,"100",,
"textures\siege c sitting tiger iron.tga","siege c sitting tiger iron.tga",,"64","64","4","BC3",,"2",,
"textures\siege c sitting tiger projectile.tga","siege c sitting tiger projectile.tga",,"32","32","4","BC3",,"1",,
"textures\siege c sitting tiger.tga","siege c sitting tiger.tga",,"64","64","4","BC3",,"2",,
"textures\siege e catapult iron.tga","siege e catapult iron.tga",,"64","64","1","BC3",,"2",,
"textures\siege e catapult projectile.tga","siege e catapult projectile.tga",,"32","32","1","BC3",,"1",,
"textures\siege e catapult.tga","siege e catapult.tga",,"64","64","1","BC3",,"2",,
"textures\siege g helepolis iron.tga","siege g helepolis iron.tga",,"256","128","1","BC3",,"3",,
"textures\siege g helepolis.tga","siege g helepolis.tga",,"256","128","1","BC3",,"3",,
"textures\siege g petrobolos iron.tga","siege g petrobolos iron.tga",,"64","64","1","BC3",,"2",,
"textures\siege g petrobolos low.tga","siege g petrobolos low.tga",,"64","64","1","BC3",,"3",,
"textures\siege g petrobolos projectile.tga","siege g petrobolos projectile.tga",,"32","32","0","BC3",,"1",,
"textures\siege g petrobolos tire low.tga","siege g petrobolos tire low.tga",,"16","16","1","BC3",,"2",,
"textures\siege g petrobolos.tga","siege g petrobolos.tga",,"64","64","1","BC3",,"2",,
"textures\siege g trojan horse.tga","siege g trojan horse.tga",,"256","256","1","BC3",,"1",,
"textures\siege n ballista bolt iron.tga","siege n ballista bolt iron.tga",,"64","16","1","BC3",,"2",,
"textures\siege n ballista bolt.tga","siege n ballista bolt.tga",,"64","16","1","BC3",,"2",,
"textures\siege n ballista iron.tga","siege n ballista iron.tga",,"64","64","1","BC3",,"2",,
"textures\siege n ballista map.tga","siege n ballista map.tga",,"256","256","1","BC3",,"3",,
"textures\siege n ballista.tga","siege n ballista.tga",,"64","64","1","BC3",,"2",,
"textures\siege n catapult map.tga","siege n catapult map.tga",,"256","256","1","BC3",,"3",,
"textures\siege n ram iron.tga","siege n ram iron.tga",,"128","128","1","BC3",,"3",,
"textures\siege n ram.tga","siege n ram.tga",,"128","128","1","BC3",,"3",,
"textures\siege x chieroballista downgrade.tga","siege x chieroballista downgrade.tga",,"128","128","1","BC3",,"3",,
"textures\siege x chieroballista man upgrade.tga","siege x chieroballista man upgrade.tga",,"64","64","1","BC3",,"3",,
"textures\siege x chieroballista man.tga","siege x chieroballista man.tga",,"64","64","1","BC3",,"3",,
"textures\siege x chieroballista.tga","siege x chieroballista.tga",,"128","128","1","BC3",,"3",,
"textures\siege x fire siphon upgrade.tga","siege x fire siphon upgrade.tga",,"128","128","1","BC3",,"3",,
"textures\siege x fire siphon.tga","siege x fire siphon.tga",,"128","128","1","BC3",,"3",,
"textures\siege x onager iron.tga","siege x onager iron.tga",,"64","64","4","BC3",,"4",,
"textures\siege x onager.tga","siege x onager.tga",,"64","64","4","BC3",,"4",,
"textures\special c azure dragon.tga","special c azure dragon.tga",,"256","128","4","BC3",,"189",,
"textures\special c dragon turtle.tga","special c dragon turtle.tga",,"256","256","4","BC3",,"143",,
"textures\special c earth dragon.tga","special c earth dragon.tga",,"256","256","4","BC3",,"243",,
"textures\special c jiangshi head.tga","special c jiangshi head.tga",,"32","32","4","BC3",,"33",,
"textures\special c jiangshi.tga","special c jiangshi.tga",,"128","128","4","BC3",,"81",,
"textures\special c monkey king.tga","special c monkey king.tga",,"128","256","4","BC3",,"175",,
"textures\special c pixiu.tga","Special C Pixiu.tga",,"512","256","4","BC3",,"232",,
"textures\special c salamander.tga","special c salamander.tga",,"128","128","4","BC3",,"153",,
"textures\special c terracotta soldier head.tga","special c terracotta soldier head.tga",,"32","32","4","BC3",,"18",,
"textures\special c terracotta soldier.tga","special c terracotta soldier.tga",,"128","128","4","BC3",,"8",,
"textures\special c vermillion bird wing.tga","special c vermillion bird wing.tga",,"256","128","4","BC3",,"244",,
"textures\special c vermillion bird.tga","special c vermillion bird.tga",,"256","256","4","BC3",,"111",,
"textures\special e anubite iron.tga","special e anubite iron.tga",,"128","128","1","BC3",,"3",,
"textures\special e anubite.tga","special e anubite.tga",,"128","128","1","BC3",,"3",,
"textures\special e apep map.tga","special e apep map.tga",,"128","128","1","BC3",,"3",,
"textures\special e avenger map.tga","special e avenger map.tga",,"128","128","1","BC3",,"3",,
"textures\special e mummy map.tga","special e mummy map.tga",,"64","64","1","BC3",,"3",,
"textures\special e petesuchos.tga","special e petesuchos.tga",,"128","128","1","BC3",,"2",,
"textures\special e pharaoh head.tga","special e pharaoh head.tga",,"64","32","1","BC3",,"3",,
"textures\special e pharaoh.tga","special e pharaoh.tga",,"64","64","1","BC3",,"3",,
"textures\special e phoenix egg.tga","special e phoenix egg.tga",,"64","64","1","BC3",,"2",,
"textures\special e phoenix.tga","special e phoenix.tga",,"64","64","0","BC3",,"1",,
"textures\special e priest head.tga","special e priest head.tga",,"32","16","1","BC3",,"2",,
"textures\special e priest.tga","special e priest.tga",,"64","64","1","BC3",,"3",,
"textures\special e roc basket.tga","special e roc basket.tga",,"128","128","1","BC3",,"2",,
"textures\special e roc.tga","special e roc.tga",,"128","128","1","BC3",,"1",,
"textures\special e scarab map.tga","special e scarab map.tga",,"128","128","1","BC3",,"3",,
"textures\special e scorpion man head.tga","special e scorpion man head.tga",,"32","32","1","BC3",,"1",,
"textures\special e scorpion man upgrade.tga","special e scorpion man upgrade.tga",,"128","128","1","BC3",,"3",,
"textures\special e scorpion man.tga","special e scorpion man.tga",,"128","128","1","BC3",,"3",,
"textures\special e sphinx.tga","special e sphinx.tga",,"128","128","1","BC3",,"3",,
"textures\special e wadjet.tga","special e wadjet.tga",,"128","128","1","BC3",,"3",,
"textures\special g agamemnon head.tga","special g agamemnon head.tga",,"64","64","1","BC3",,"1",,
"textures\special g agamemnon.tga","special g agamemnon.tga",,"128","128","1","BC3",,"3",,
"textures\special g athena head.tga","special g athena head.tga",,"128","64","1","BC3",,"1",,
"textures\special g athena.tga","special g athena.tga",,"128","128","1","BC3",,"3",,
"textures\special g carcinos.tga","special g carcinos.tga",,"128","128","1","BC3",,"3",,
"textures\special g centaur head upgrade.tga","special g centaur head upgrade.tga",,"32","32","1","BC3",,"2",,
"textures\special g centaur low.tga","special g centaur low.tga",,"128","64","1","BC3",,"2",,
"textures\special g centaur upgrade.tga","special g centaur upgrade.tga",,"64","64","1","BC3",,"2",,
"textures\special g centaur.tga","special g centaur.tga",,"64","64","1","BC3",,"2",,
"textures\special g chimera map.tga","special g chimera map.tga",,"64","64","1","BC3",,"3",,
"textures\special g chimera tail.tga","special g chimera tail.tga",,"64","64","1","BC3",,"3",,
"textures\special g chimera.tga","special g chimera.tga",,"128","128","1","BC3",,"3",,
"textures\special g colossus map.tga","special g colossus map.tga",,"128","128","1","BC3",,"3",,
"textures\special g cyclops map.tga","special g cyclops map.tga",,"128","128","1","BC3",,"3",,
"textures\special g cyclops upgrade.tga","special g cyclops upgrade.tga",,"128","128","1","BC3",,"2",,
"textures\special g cyclops.tga","special g cyclops.tga",,"128","128","1","BC3",,"2",,
"textures\special g giant turtle.tga","special g giant turtle.tga",,"256","256","4","BC3",,"244",,
"textures\special g golem map.tga","special g golem map.tga",,"256","256","1","BC3",,"22",,
"textures\special g hippocampus.tga","special g hippocampus.tga",,"128","128","1","BC3",,"3",,
"textures\special g hydra land.tga","special g hydra land.tga",,"256","256","1","BC3",,"3",,
"textures\special g hydra map.tga","special g hydra map.tga",,"128","128","1","BC3",,"3",,
"textures\special g manticore.tga","special g manticore.tga",,"128","128","1","BC3",,"3",,
"textures\special g medusa low map.tga","special g medusa low map.tga",,"64","64","1","BC3",,"3",,
"textures\special g medusa map.tga","special g medusa map.tga",,"64","64","1","BC3",,"3",,
"textures\special g medusa.tga","special g medusa.tga",,"128","128","1","BC3",,"3",,
"textures\special g minotaur.tga","special g minotaur.tga",,"128","128","1","BC3",,"3",,
"textures\special g nemean lion.tga","special g nemean lion.tga",,"128","128","1","BC3",,"3",,
"textures\special g pegasus wings.tga","special g pegasus wings.tga",,"64","64","4","BC3",,"42",,
"textures\special g pegasus.tga","special g pegasus.tga",,"128","128","1","BC3",,"2",,
"textures\special g scylla map.tga","special g scylla map.tga",,"128","128","1","BC3",,"3",,
"textures\special g scylla.tga","special g scylla.tga",,"256","256","1","BC3",,"3",,
"textures\special g sea turtle.tga","special g sea turtle.tga",,"256","256","1","BC3",,"3",,
"textures\special g shade.tga","special g shade.tga",,"64","64","1","BC3",,"3",,
"textures\special g underworld shade.tga","special g underworld shade.tga",,"64","64","1","BC3",,"1",,
"textures\special n battle boar.tga","special n battle boar.tga",,"128","128","1","BC3",,"3",,
"textures\special n einheriar upgrade.tga","special n einheriar upgrade.tga",,"64","64","1","BC3",,"2",,
"textures\special n einheriar.tga","special n einheriar.tga",,"64","64","1","BC3",,"2",,
"textures\special n fenris.tga","special n fenris.tga",,"128","128","1","BC3",,"3",,
"textures\special n fire giant.tga","special n fire giant.tga",,"128","128","1","BC3",,"3",,
"textures\special n frost giant head upgrade.tga","special n frost giant head upgrade.tga",,"64","64","0","BC3",,"1",,
"textures\special n frost giant head.tga","special n frost giant head.tga",,"64","64","0","BC3",,"1",,
"textures\special n frost giant upgrade.tga","special n frost giant upgrade.tga",,"128","128","1","BC3",,"3",,
"textures\special n frost giant.tga","special n frost giant.tga",,"128","128","1","BC3",,"3",,
"textures\special n giant map.tga","special n giant map.tga",,"64","64","1","BC3",,"3",,
"textures\special n giant.tga","special n giant.tga",,"128","128","1","BC3",,"3",,
"textures\special n jarl cape map.tga","special n jarl cape map.tga",,"32","32","1","BC3",,"3",,
"textures\special n jormund brood hump.tga","special n jormund brood hump.tga",,"64","128","1","BC3",,"2",,
"textures\special n jormund brood.tga","special n jormund brood.tga",,"128","128","1","BC3",,"3",,
"textures\special n king folstag upgrade.tga","special n king folstag upgrade.tga",,"128","128","1","BC3",,"3",,
"textures\special n king folstag.tga","special n king folstag.tga",,"64","64","1","BC3",,"1",,
"textures\special n raven.tga","special n raven.tga",,"64","64","1","BC3",,"2",,
"textures\special n troll bag.tga","special n troll bag.tga",,"64","32","1","BC3",,"3",,
"textures\special n troll.tga","special n troll.tga",,"128","128","1","BC3",,"3",,
"textures\special n valkyrie low.tga","special n valkyrie low.tga",,"128","64","1","BC3",,"1",,
"textures\special n valkyrie map.tga","special n valkyrie map.tga",,"128","128","1","BC3",,"3",,
"textures\special n valkyrie upgrade.tga","special n valkyrie upgrade.tga",,"64","64","1","BC3",,"3",,
"textures\special x oracle hero.tga","special x oracle hero.tga",,"64","64","1","BC3",,"3",,
"textures\special x oracle.tga","special x oracle.tga",,"64","64","1","BC3",,"3",,
"textures\statue x gaia map.tga","statue x gaia map.tga",,"128","128","1","BC3",,"3",,
"textures\statue x kronos map.tga","statue x kronos map.tga",,"128","128","1","BC3",,"1",,
"textures\statue x oranos map.tga","statue x oranos map.tga",,"128","128","1","BC3",,"2",,
"textures\temp santa body.tga","temp santa body.tga",,"128","128","1","BC3",,"3",,
"textures\temp santa hat.tga","temp santa hat.tga",,"64","64","4","BC3",,"1",,
"textures\temp santa head.tga","temp santa head.tga",,"64","64","1","BC3",,"1",,
"textures\test flags.tga","test flags.tga",,"128","128","1","BC3",,"3",,
"textures\theocrat map.tga","theocrat map.tga",,"256","256","1","BC3",,"3",,
"textures\titan c pangu.tga","titan c pangu.tga",,"1024","512","4","BC3",,"229",,
"textures\titan e ra pads map.tga","titan e ra pads map.tga",,"64","64","4","BC3",,"172",,
"textures\titan e ra skirt map.tga","titan e ra skirt map.tga",,"256","256","4","BC3",,"239",,
"textures\titan g cerebus map1.tga","titan g cerebus map1.tga",,"256","256","1","BC3",,"3",,
"textures\titan g cerebus map2.tga","titan g cerebus map2.tga",,"256","256","1","BC3",,"3",,
"textures\titan n troll hammer map.tga","titan n troll hammer map.tga",,"128","128","1","BC3",,"1",,
"textures\titan n troll map1.tga","titan n troll map1.tga",,"256","256","1","BC3",,"1",,
"textures\titan n troll map2.tga","titan n troll map2.tga",,"256","256","1","BC3",,"3",,
"textures\titan x gaia.tga","titan x gaia.tga",,"256","256","4","BC3",,"165",,
"textures\titan x golem map1.tga","titan x golem map1.tga",,"256","256","4","BC3",,"242",,
"textures\titan x golem map2.tga","titan x golem map2.tga",,"256","256","1","BC3",,"1",,
"textures\titan x kronos.tga","titan x kronos.tga",,"256","256","1","BC3",,"3",,
"textures\titan x promethean 1.tga","titan x promethean 1.tga",,"256","256","1","BC3",,"3",,
"textures\toxotemap.tga","toxotemap.tga",,"256","256","1","BC3",,"3",,
"textures\trade c caravan cargo.tga","trade c caravan cargo.tga",,"64","64","4","BC3",,"25",,
"textures\trade c caravan.tga","trade c caravan.tga",,"128","128","4","BC3",,"83",,
"textures\trade e caravan basket.tga","trade e caravan basket.tga",,"128","128","1","BC3",,"2",,
"textures\trade e caravan camel.tga","trade e caravan camel.tga",,"128","128","1","BC3",,"3",,
"textures\trade e caravan cargo.tga","trade e caravan cargo.tga",,"64","64","1","BC3",,"1",,
"textures\trade g caravan cargo.tga","trade g caravan cargo.tga",,"64","64","1","BC3",,"2",,
"textures\trade g caravan donkey.tga","trade g caravan donkey.tga",,"64","64","1","BC3",,"3",,
"textures\trade n caravan cargo.tga","trade n caravan cargo.tga",,"128","128","1","BC3",,"3",,
"textures\trade n caravan ox.tga","trade n caravan ox.tga",,"128","128","1","BC3",,"3",,
"textures\trade x caravan.tga","trade x caravan.tga",,"64","64","1","BC3",,"3",,
"textures\trash weapon.tga","trash weapon.tga",,"128","64","1","BC3",,"3",,
"textures\trash.tga","trash.tga",,"256","256","1","BC3",,"3",,
"textures\ui\background chinese opaque.tga","background chinese opaque.tga",,"32","32","0","DeflatedRGBA8",,"1",,
"textures\ui\background egypt opaque.tga","background egypt opaque.tga",,"32","32","0","DeflatedRGBA8",,"1",,
"textures\ui\background fade blue.tga","background fade blue.tga",,"256","16","0","DeflatedRGBA8",,"1",,
"textures\ui\background fade green.tga","background fade green.tga",,"256","16","0","DeflatedRGBA8",,"1",,
"textures\ui\background fade red.tga","background fade red.tga",,"256","16","0","DeflatedRGBA8",,"1",,
"textures\ui\background fade yellow.tga","background fade yellow.tga",,"256","16","0","DeflatedRGBA8",,"1",,
"textures\ui\background greek opaque.tga","background greek opaque.tga",,"32","32","0","DeflatedRGBA8",,"1",,
"textures\ui\background norse opaque.tga","background norse opaque.tga",,"32","32","0","DeflatedRGBA8",,"1",,
"textures\ui\ui .net passport logo.tga","ui .net passport logo.tga",,"128","32","0","DeflatedRGBA8",,"1",,
"textures\ui\ui background blue opaque.tga","ui background blue opaque.tga",,"32","32","0","DeflatedRGBA8",,"1",,
"textures\ui\ui background dark blue opaque.tga","ui background dark blue opaque.tga",,"32","32","0","DeflatedRGBA8",,"1",,
"textures\ui\ui background yellow opaque.tga","ui background yellow opaque.tga",,"8","8","0","DeflatedRGBA8",,"1",,
"textures\ui\ui line yellow vertical.tga","ui line yellow vertical.tga",,"8","256","0","DeflatedRGBA8",,"221",,
"textures\ui\ui line yellow.tga","ui line yellow.tga",,"256","8","0","DeflatedRGBA8",,"227",,
"textures\ui\ui progress bar flair.tga","ui progress bar flair.tga",,"32","128","0","DeflatedRGBA8",,"1",,
"textures\ui\ui text chat box grey.tga","ui text chat box grey.tga",,"32","32","0","DeflatedRGBA8",,"1",,
"textures\ui\ui text chat box.tga","ui text chat box.tga",,"32","32","0","DeflatedRGBA8",,"1",,
"textures\villager c female.tga","villager c female.tga",,"256","256","4","BC3",,"145",,
"textures\villager c male standard.tga","villager c male standard.tga",,"64","64","4","BC3",,"35",,
