"Texture","Total","CT0","CT4","OtherCT","PixelXForm"
"world c statue fuxi","1","0","1","0","0"
"world c statue fuxi head","1","0","1","0","0"
"world c statue nuwa","1","0","1","0","0"
"world c statue nuwa stand","3","0","3","0","0"
"world c statue shennong","1","0","1","0","0"
"world c statue shennong head","1","0","1","0","0"
"World E Column","6","6","0","0","0"
"World E Flag","6","3","3","0","0"
"World E Fountain","2","2","0","0","0"
"World E Garrison Flag","2","1","1","0","0"
"World E Milestone","2","2","0","0","0"
"World E Palm Burnt","4","4","0","0","0"
"World E Palm map","2","2","0","0","0"
"World E Palm mapB","38","38","0","0","0"
"World E Savannah burnt map","9","9","0","0","0"
"World E Savannah map","12","12","0","0","0"
"World E Statue Anubite","2","2","0","0","0"
"World E Statue Anubite Base","2","2","0","0","0"
"World E Statue Isis","17","10","7","0","0"
"World E Statue Isis Sprite","2","2","0","0","0"
"World E Statue Ra","6","3","3","0","0"
"World E Statue Ra Sprite","2","2","0","0","0"
"World E Statue Set","6","3","3","0","0"
"World E Statue Set Sprite","2","2","0","0","0"
"World E Tent","1","1","0","0","0"
"World G Aspen","60","60","0","0","0"
"world g aspen burnt map","14","14","0","0","0"
"World G Column","8","8","0","0","0"
"World G Flag","6","3","3","0","0"
"World G Fountain","1","1","0","0","0"
"World G Garrison Flag","2","1","1","0","0"
"World G Hades Temple","4","2","2","0","0"
"world G Helmet Map","12","12","0","0","0"
"World G Milestone","2","2","0","0","0"
"World G Oak Burnt","10","10","0","0","0"
"World G Oak Cinematic map","4","4","0","0","0"
"World G Oak map","1","1","0","0","0"
"World G Oak mapB","51","51","0","0","0"
"world G statue base","6","6","0","0","0"
"World G Statue Chimera","1","1","0","0","0"
"World G Statue Chimera Tail","1","1","0","0","0"
"World G Statue Colossus","1","1","0","0","0"
"World G Statue Colossus Base","4","4","0","0","0"
"World G Statue Cyclops","2","2","0","0","0"
"World G Statue Hades","6","3","3","0","0"
"World G Statue Hades Sprite","2","2","0","0","0"
"World G Statue Minotaur","1","1","0","0","0"
"World G Statue Minotaur Axe","2","2","0","0","0"
"World G Statue Poseidon","23","11","12","0","0"
"World G Statue Poseidon Base","10","9","1","0","0"
"World G Statue Poseidon Sprite","2","2","0","0","0"
"World G Statue Poseidon Trident","4","4","0","0","0"
"World G Statue Zeus","6","3","3","0","0"
"World G Statue Zeus Sprite","3","3","0","0","0"
"World G Tent","4","2","2","0","0"
"World G Torch","2","2","0","0","0"
"World G Zues UWPassage","1","1","0","0","0"
"World G ZuesStairs","2","2","0","0","0"
"World M Marsh Tree","16","16","0","0","0"
"World M Marsh Tree burnt map","4","4","0","0","0"
"World N Column","6","6","0","0","0"
"World N Flag","8","5","3","0","0"
"World N Fountain","2","2","0","0","0"
"World N Garrison Flag","2","1","1","0","0"
"World N Milestone","2","2","0","0","0"
"World N Pine Burnt","9","9","0","0","0"
"World N Pine map2","29","29","0","0","0"
"world n pine map2 Dead Tree","2","2","0","0","0"
"World N Pine map2Snow","28","28","0","0","0"
"World N Rocksnow map","1","1","0","0","0"
"World N Rocksymbols grass map","3","3","0","0","0"
"World N Rocksymbols map","1","1","0","0","0"
"World N Rocksymbols shadow map","2","2","0","0","0"
"World N Runestone map","3","3","0","0","0"
"World N Runestone shadow map","1","1","0","0","0"
"World N Statue Loki","6","3","3","0","0"
"World N Statue Loki Sprite","2","2","0","0","0"
"World N Statue Mountain Giant","1","1","0","0","0"
"World N Statue Mountain Giant Base","1","1","0","0","0"
"World N Statue Mountain Giant Club","1","1","0","0","0"
"World N Statue Mountain Giant Head","1","1","0","0","0"
"World N Statue Odin","12","6","6","0","0"
"World N Statue Odin Sprite","2","2","0","0","0"
"World N Statue Thor","6","3","3","0","0"
"World N Statue Thor Sprite","2","2","0","0","0"
"World N Tent","2","1","1","0","0"
"World N Torch","2","2","0","0","0"
"World N Well of Urd","2","2","0","0","0"
"World N Well of Urd runes map","2","2","0","0","0"
"World T Tundra Burnt Map","5","5","0","0","0"
"World T Tundra Tree","12","12","0","0","0"
"world X column","9","9","0","0","0"
"World X Earth 01","1","1","0","0","0"
"World X Earth 02","1","1","0","0","0"
"World X Earth 03","1","1","0","0","0"
"World X Earth 04","1","1","0","0","0"
"World X Hesperides Tree","1","1","0","0","0"
"World X Hesperides Tree leaf","1","1","0","0","0"
"World X Lava Pit","1","1","0","0","0"
"World X Stars Map","1","1","0","0","0"
"world X statue gaia sprite","2","2","0","0","0"
"world X statue Kronos sprite","2","2","0","0","0"
"world X statue Oranos sprite","2","2","0","0","0"
"World X Volcano","5","5","0","0","0"
"World X Volcano lava","1","1","0","0","0"
